split,side,formation_window,horizon,pressure_quantile,mean_markout_bps,ci_low,ci_high,adverse_frequency,observation_count
test,buy,2,30,3,-0.20305846181211284,-0.32226146809443157,-0.0838554555297941,0.4956418383518225,25240
test,buy,2,30,4,-0.32082660178076206,-0.4413776820551192,-0.2002755215064049,0.4944609942282629,21484
test,buy,2,30,5,-0.4014842223287799,-0.5237225284453042,-0.2792459162122556,0.5016021289306468,18413
test,buy,2,30,6,-0.26398945365974913,-0.4060117524714528,-0.12196715484804543,0.49520009973818724,16042
test,buy,2,30,7,-0.04771743053984767,-0.1966743969422903,0.10123953586259496,0.48885607818322435,14223
test,buy,2,30,8,-0.24541112583160374,-0.391438699059112,-0.09938355260409545,0.4706533776301218,12642
test,buy,2,30,9,0.05926209389313107,-0.10468037896260947,0.22320456674887162,0.4355701548568747,10655
test,buy,2,30,10,-1.020631579558707,-1.3578511715876989,-0.6834119875297153,0.46244063196665697,10317
validation,buy,2,60,1,0.4276669329715761,0.32224202130985125,0.533091844633301,0.46936250247475747,40408
validation,buy,2,60,2,0.057589780919346585,-0.048796087603744105,0.16397564944243728,0.4880892678034102,31904
validation,buy,2,60,3,-0.0040692182914130745,-0.11386705007940667,0.10572861349658053,0.4814630858197041,28187
validation,buy,2,60,4,-0.20420276321897884,-0.3117019549621162,-0.09670357147584147,0.4920616833789122,26328
validation,buy,2,60,5,-0.3051445152661618,-0.41796886182645315,-0.1923201687058705,0.4957206019551373,24653
validation,buy,2,60,6,-0.3127144606565234,-0.4246070923013374,-0.20082182901170942,0.5024063703185159,22856
validation,buy,2,60,7,-0.08921138888697032,-0.2029454277135725,0.024522649939631838,0.4916528315808891,21684
validation,buy,2,60,8,-0.33710659814750016,-0.4445292399002582,-0.2296839563947421,0.49481452896628236,20731
validation,buy,2,60,9,-0.32183674037678656,-0.43670318222444926,-0.20697029852912385,0.48433107756376886,19210
validation,buy,2,60,10,-0.3632974805675293,-0.4742647458839648,-0.25233021525109384,0.494872837331165,22137
test,buy,2,60,1,0.47954309071275,0.2723740273144698,0.6867121541110301,0.4824533196132656,46647
test,buy,2,60,2,-0.29579811945791123,-0.4738059698292928,-0.1177902690865297,0.5015873015873016,32130
test,buy,2,60,3,-0.3045913217404666,-0.484545759755788,-0.1246368837251452,0.5050412829469673,25192
test,buy,2,60,4,-0.5015339591273483,-0.6947359283861614,-0.3083319898685353,0.5091655394374738,21439
test,buy,2,60,5,-0.4994212407856871,-0.686819854162654,-0.3120226274087203,0.5164099493822457,18373
test,buy,2,60,6,-0.5690941232021165,-0.7710444205840254,-0.36714382582020755,0.51975,16000
test,buy,2,60,7,-0.167308400267454,-0.41248451843777023,0.0778677179028622,0.5110516683091652,14206
test,buy,2,60,8,-0.3444656924787392,-0.5751451723687027,-0.11378621258877572,0.49940556392169294,12617
test,buy,2,60,9,-0.20687215699908162,-0.4695778690938533,0.055833555095690046,0.47234762979683975,10632
test,buy,2,60,10,-1.6055963604851746,-2.149492840210243,-1.0616998807601061,0.4958219976680917,10292
validation,buy,2,300,1,-0.4775769117411676,-0.703647655633128,-0.2515061678492072,0.4985382327738293,39678
validation,buy,2,300,2,-0.551339023091689,-0.7912201869318246,-0.31145785925155345,0.5147889346223796,31341
validation,buy,2,300,3,-0.3045165851779895,-0.5544844453472394,-0.05454872500873964,0.503560970319222,27661
validation,buy,2,300,4,-0.723602796663145,-0.9729703846646947,-0.4742352086615953,0.5108666280640803,25905
validation,buy,2,300,5,-0.4759051548509808,-0.7340652763364613,-0.21774503336550022,0.5105786282839114,24247
validation,buy,2,300,6,-0.4394667050128273,-0.7023420930344959,-0.17659131699115865,0.5138895062002755,22499
validation,buy,2,300,7,-0.18510077081520732,-0.44217919499303554,0.07197765336262091,0.5073115860517435,21336
validation,buy,2,300,8,-0.3119101024427713,-0.5691170343492389,-0.05470317053630375,0.5086456037227529,20415
validation,buy,2,300,9,-0.19697885795699902,-0.45911583148069945,0.06515811556670145,0.5086289041821069,18890
validation,buy,2,300,10,-0.3181325140056556,-0.5698229390603851,-0.06644208895092613,0.5066954049344217,21806
test,buy,2,300,1,-0.609104688075481,-1.12779907335123,-0.09041030279973206,0.5010787368971604,45887
