sequence,side,strong_minus_weak_markout,quote_survival_difference,dynamic_vs_static_improvement,count
stratified_null_10,sell,1.2410271845669765,0.024764150943396235,1.586292669877572,2510
stratified_null_10,combined,0.761016257953719,0.02641915120201166,2.462253424654981,4868
stratified_null_11,buy,0.86691806535489,-0.016860839529301508,3.4521890407837024,2358
stratified_null_11,sell,1.3857821770229735,0.007607356810928889,1.0071783287191778,2510
stratified_null_11,combined,1.0802286623845472,-0.001595393604658213,2.13791733646452,4868
stratified_null_12,buy,0.8056207072583663,0.0005346044697247532,0.6585278947027171,2358
stratified_null_12,sell,1.2354489279340588,0.0022815071944459753,1.5797871277932438,2510
stratified_null_12,combined,0.9040457805261746,0.0022444839468580002,1.0102367135888486,4868
stratified_null_13,buy,0.5450320509871984,-0.0019412150773867043,1.86400514495626,2358
stratified_null_13,sell,-0.5548789924500424,0.05561698673086618,-0.8749980341048545,2510
stratified_null_13,combined,-0.12993556964229871,0.025772490393219938,0.34424876448776387,4868
stratified_null_14,buy,-0.9656429660334473,-0.0011015625240725635,1.4751984660438073,2358
stratified_null_14,sell,0.5316566798613833,0.017345753317283497,1.4819570093811412,2510
stratified_null_14,combined,-0.35075515764750986,0.009876863148432335,1.3218607780397416,4868
stratified_null_15,buy,-0.4337155560921162,-0.03797386446621209,1.2351829781965606,2358
stratified_null_15,sell,-0.401017579796045,0.0015606628968142244,-1.30501591078387,2510
stratified_null_15,combined,-0.5436140827190534,-0.01879406060066169,-0.20078764942504213,4868
stratified_null_16,buy,1.9465378053962004,0.0005561735261401246,2.859574733028227,2358
stratified_null_16,sell,0.5519727424180065,0.015214713621857667,0.5542175685604865,2510
stratified_null_16,combined,1.2043146156676632,0.010523523957224001,1.6479289201500467,4868
stratified_null_17,buy,-1.1203788066974145,-0.02909665710438497,-1.3546499332610695,2358
stratified_null_17,sell,-0.9550805008935379,0.0025859414366496414,-0.6771166945296876,2510
stratified_null_17,combined,-1.0980207866225395,-0.011134956531598128,-1.068285818391936,4868
stratified_null_18,buy,1.4729475370388003,0.04244482173174874,1.081145932224103,2358
stratified_null_18,sell,0.08354733272174059,-0.001522171211018386,0.5040716130280654,2510
stratified_null_18,combined,0.7323966932948676,0.021326039334145896,0.7592681832756045,4868
stratified_null_19,buy,2.1346010814522027,0.007732506724923649,3.7058830202562607,2358
stratified_null_19,sell,0.3966326564014018,0.016929343261855467,0.32019872440671504,2510
stratified_null_19,combined,1.1690050496344782,0.009863500714687778,1.8910535519488345,4868
stratified_null_20,buy,1.6103062004313564,-0.01776519925186193,1.759830865284128,2358
stratified_null_20,sell,0.7739072303446737,0.0300515088740832,0.7712698409709309,2510
stratified_null_20,combined,1.1577351439269787,0.007337595814723763,1.2288354235418546,4868
stratified_null_21,buy,-0.2605974957101853,-0.00829946477927157,-0.23517567636791611,2358
stratified_null_21,sell,0.6228590625123175,0.05671924864229322,1.0269487729059517,2510
stratified_null_21,combined,0.11605238360290682,0.02514162155158106,0.33663978950347717,4868
stratified_null_22,buy,0.39735778596441956,-0.03851925346414453,0.8463845661319171,2358
stratified_null_22,sell,-0.15040886565785702,0.008520659537539887,-1.384625906947637,2510
stratified_null_22,combined,0.06370062758089001,-0.013049428857187961,-0.35481714910125656,4868
stratified_null_23,buy,0.1438088508501898,0.012203463990460295,0.4751167541558765,2358
stratified_null_23,sell,0.7519593608520455,0.023091512233357536,0.8127108991377251,2510
stratified_null_23,combined,0.2970379807164837,0.016862581541215005,0.48890102237941574,4868
stratified_null_24,buy,1.1834036060165447,-0.007481381282372912,2.1715182455818858,2358
stratified_null_24,sell,-0.5423340133030958,-0.015330188679245293,-0.6703950940029728,2510
stratified_null_24,combined,0.1926598433410776,-0.011782832107093855,0.6054970582933392,4868
stratified_null_25,buy,-0.35097727513702365,-0.018016324694412666,0.25490760846383703,2358
stratified_null_25,sell,-0.6167467757976697,0.01685235989026368,0.40694607844936437,2510
stratified_null_25,combined,-0.5785984495570459,-0.00032150825433974184,0.24262483369923404,4868
stratified_null_26,buy,0.6952107860369852,0.0022570476891836666,2.563658839813378,2358
stratified_null_26,sell,2.346901416678662,0.038117266670399164,3.091949610597095,2510
stratified_null_26,combined,1.4119772366741645,0.021315106433809405,2.7014245413245863,4868
stratified_null_27,buy,-0.5439406837043091,0.023097378127128088,2.291100679010202,2358
stratified_null_27,sell,0.4285746474368092,0.01825905604389455,1.6018588492069266,2510
stratified_null_27,combined,-0.16174516254305465,0.023858018067630105,1.8168258769742434,4868
stratified_null_28,buy,1.2300596736648566,-0.005529381676778522,5.132197282922142,2358
stratified_null_28,sell,-0.8206930264545403,-0.005402832988074591,-0.8834805473371412,2510
stratified_null_28,combined,0.18633581274430616,-0.0034940739630953677,2.0449493816214863,4868
stratified_null_29,buy,0.0043923774193749265,-0.018310588249794313,0.2912064059766716,2358
stratified_null_29,sell,-0.49595214779992086,0.018640473657689893,-1.6750707916861105,2510
stratified_null_29,combined,-0.38363584928493755,-0.0003190787209316204,-0.8523641221307516,4868
stratified_null_30,buy,-0.4643390176278725,-0.02936935160335119,0.9636820182215917,2358
stratified_null_30,sell,1.2019781782203214,0.03183962264150941,2.0310218315479265,2510
