side,formation_window,horizon,component,subgroup_type,subgroup,low_mean_markout_bps,high_mean_markout_bps,high_minus_low_markout_bps,rank_correlation,observation_count,low_count,high_count
buy,10,10,P3_depth_normalized,all,all,0.058737085865705294,-0.37538651793114486,-0.43412360379685017,-0.008509562208744742,208278,94160,16790
buy,10,10,inverse_depth_denominator,all,all,0.7656307597456242,-0.4870347492386409,-1.252665508984265,-0.10774019289197391,208278,12380,54122
buy,10,30,market_flow,all,all,-0.048164578047921486,-0.6007352366977396,-0.5525706586498181,-0.005901272721789047,207978,54216,39239
buy,10,30,cancellation,all,all,-0.804213585174984,0.7462526227583995,1.5504662079333835,0.05762832153344835,207978,49066,18290
buy,10,30,negative_replenishment,all,all,1.0926463117117988,-1.1154720128045976,-2.2081183245163967,-0.0706902510479891,207978,28304,33868
buy,10,30,P2_market_cancel_raw,all,all,-0.6362700506994743,0.25561939340064127,0.8918894441001155,0.05475355394758836,207978,48563,18454
buy,10,30,P3_full_raw,all,all,0.6119556566008376,-1.3291267251901706,-1.9410823817910083,-0.06369051585235921,207978,51204,25619
buy,10,30,P3_depth_normalized,all,all,0.11996542410365696,-0.9262252731759888,-1.0461906972796458,-0.017374151693970403,207978,94037,16753
buy,10,30,inverse_depth_denominator,all,all,0.529663116730617,-0.6276465855332931,-1.15730970226391,-0.06830367567541927,207978,12369,54024
buy,10,60,market_flow,all,all,-0.16712732912493597,-1.0385767772217005,-0.8714494480967645,-0.006387757908531114,207528,54108,39145
buy,10,60,market_flow,test_day,2021-04-17,-0.34021037992888387,-0.2194458440272063,0.12076453590167757,0.0017448100189070505,86029,24821,13776
buy,10,60,market_flow,test_day,2021-04-18,-0.340552181892883,-1.8072391732678514,-1.4666869913749685,0.002205895910138404,86029,17009,21519
buy,10,60,market_flow,test_day,2021-04-19,0.42302397603346104,0.3267474733834332,-0.09627650265002785,-0.011424310099571273,35470,12278,3850
buy,10,60,market_flow,depth_tercile,low,-0.4283594297974931,-1.4308919396147637,-1.0025325098172706,-0.0045866142810141305,95069,26507,15606
buy,10,60,market_flow,depth_tercile,middle,-0.10696491667603618,-0.4628240652904903,-0.3558591486144541,-0.0058506986180603,81880,20359,16646
buy,10,60,market_flow,depth_tercile,high,0.6198973515544782,-1.5407542352952217,-2.1606515868497,-0.006668713043781453,30579,7242,6893
buy,10,60,market_flow,volatility_tercile,low,0.23886501897618143,-1.105738730187399,-1.3446037491635805,-0.022153022070084287,37445,12066,4801
buy,10,60,market_flow,volatility_tercile,middle,-0.06458979119744773,0.19476959598292926,0.259359387180377,0.008944135737170828,54779,16291,7319
buy,10,60,market_flow,volatility_tercile,high,-0.4222297601980901,-1.3606643838561638,-0.9384346236580737,-0.0003726323341198069,115304,25751,27025
buy,10,60,market_flow,spread_regime,middle,-0.16712732912493597,-1.0385767772217005,-0.8714494480967645,-0.006387757908531114,207528,54108,39145
buy,10,60,cancellation,all,all,-1.1105849887067103,0.6797922018881265,1.7903771905948367,0.03422437709421181,207528,48980,18262
